iter,train_loss,train_err,dev_loss,dev_err
1,0.0019456013277694487,0.0,0.0020112763783023714,0.0
2,0.00045006834078827106,0.0,0.00044752943506817106,0.0
3,0.00018784728739098614,0.0,0.00018281375467595938,0.0
4,0.00010047422924019502,0.0,9.6791340580041669e-05,0.0
5,6.1668605113880274e-05,0.0,5.9049203337031969e-05,0.0
6,4.1328632189890079e-05,0.0,3.9409133199833895e-05,0.0
7,2.9442830817316498e-05,0.0,2.7988174541660866e-05,0.0
8,2.1940276782413639e-05,0.0,2.0804880194535509e-05,0.0
9,1.6923338659417685e-05,0.0,1.6014889811603753e-05,0.0
10,1.3414820786916348e-05,0.0,1.2672738799239725e-05,0.0
11,1.0871715406042146e-05,0.0,1.02548790400863e-05,0.0
12,8.9735639124681199e-06,0.0,8.4531973170745636e-06,0.0
13,7.5217758329129737e-06,0.0,7.0771940805550288e-06,0.0
14,6.3881977070316523e-06,0.0,6.0041776611039218e-06,0.0
15,5.4872594360795209e-06,0.0,5.1523636740010039e-06,0.0
