iter,train_loss,train_err,dev_loss,dev_err
1,2.4220788306027462e-05,0.0,3.3125291255948442e-05,0.0
2,7.7984779463431985e-06,0.0,1.0210634489281729e-05,0.0
3,3.8341876890653403e-06,0.0,4.9669369317560066e-06,0.0
4,2.2738591917347628e-06,0.0,2.9345626844595577e-06,0.0
5,1.5028247186532209e-06,0.0,1.93653500642862e-06,0.0
6,1.0663177218273338e-06,0.0,1.3732022807023498e-06,0.0
7,7.9557957881977033e-07,0.0,1.0243302920181759e-06,0.0
8,6.1624477629387737e-07,0.0,7.9341582183435043e-07,0.0
9,4.9139872153656169e-07,0.0,6.3271657808131875e-07,0.0
10,4.0103206005232842e-07,0.0,5.1640930183344337e-07,0.0
11,3.3353698241238388e-07,0.0,4.2953430015186829e-07,0.0
12,2.8180537196468609e-07,0.0,3.6293934129165815e-07,0.0
13,2.4128802235466062e-07,0.0,3.1077050923339772e-07,0.0
14,2.0896439704639348e-07,0.0,2.6914245352066283e-07,0.0
15,1.8276558224260525e-07,0.0,2.353944875037196e-07,0.0
