iter,train_loss,train_err,dev_loss,dev_err
1,0.081792033,0.65513834,0.085733388,0.692307692
2,0.067496513,0.494071146,0.072486135,0.550295858
3,0.057631982,0.37055336,0.063097976,0.437869822
4,0.050753227,0.307312253,0.056426568,0.363905325
5,0.045757398,0.268774704,0.051530914,0.322485207
6,0.041980119,0.241106719,0.047815642,0.292899408
7,0.039020393,0.218379447,0.044912446,0.25739645
8,0.036629655,0.203557312,0.042586842,0.24556213
9,0.03464884,0.184782609,0.040684049,0.23964497
10,0.032972724,0.172924901,0.039098659,0.230769231
11,0.031529415,0.163043478,0.037756945,0.221893491
12,0.030268278,0.159090909,0.036606085,0.218934911
13,0.029152655,0.153162055,0.035607378,0.210059172
14,0.028155347,0.148221344,0.034731882,0.198224852
15,0.027255739,0.145256917,0.033957546,0.195266272
16,0.026437916,0.143280632,0.033267291,0.195266272
17,0.025689391,0.139328063,0.03264769,0.192307692
18,0.025000223,0.133399209,0.032088043,0.189349112
19,0.024362395,0.127470356,0.031579728,0.183431953
20,0.023769365,0.122529644,0.031115713,0.186390533
21,0.023215732,0.118577075,0.030690213,0.186390533
22,0.022696998,0.117588933,0.030298421,0.183431953
23,0.022209374,0.115612648,0.02993631,0.183431953
24,0.021749644,0.112648221,0.029600482,0.183431953
25,0.021315053,0.110671937,0.029288048,0.183431953
26,0.020903228,0.108695652,0.028996535,0.183431953
27,0.020512104,0.105731225,0.028723813,0.183431953
28,0.020139877,0.102766798,0.028468038,0.183431953
29,0.01978496,0.101778656,0.028227606,0.180473373
30,0.01944595,0.099802372,0.028001111,0.180473373
31,0.019121599,0.098814229,0.027787318,0.177514793
32,0.018810794,0.09486166,0.027585139,0.177514793
33,0.018512536,0.093873518,0.027393605,0.177514793
34,0.018225927,0.093873518,0.027211858,0.174556213
35,0.017950156,0.091897233,0.027039131,0.174556213
36,0.017684486,0.090909091,0.026874736,0.168639053
37,0.017428251,0.086956522,0.026718054,0.168639053
38,0.017180842,0.086956522,0.026568529,0.165680473
39,0.016941704,0.083003953,0.026425658,0.165680473
40,0.016710328,0.083003953,0.026288983,0.162721893
41,0.016486249,0.081027668,0.026158091,0.162721893
42,0.016269039,0.081027668,0.026032603,0.159763314
43,0.016058302,0.080039526,0.025912175,0.156804734
44,0.015853676,0.080039526,0.025796492,0.156804734
45,0.015654826,0.076086957,0.025685264,0.156804734
46,0.01546144,0.075098814,0.025578226,0.156804734
47,0.015273232,0.074110672,0.025475134,0.156804734
48,0.015089934,0.072134387,0.025375761,0.156804734
49,0.0149113,0.071146245,0.0252799,0.156804734
50,0.014737099,0.06916996,0.025187358,0.156804734
51,0.014567117,0.068181818,0.025097958,0.156804734
52,0.014401153,0.067193676,0.025011532,0.153846154
53,0.014239022,0.067193676,0.024927929,0.153846154
54,0.014080549,0.067193676,0.024847004,0.153846154
55,0.013925571,0.065217391,0.024768624,0.153846154
56,0.013773935,0.062252964,0.024692666,0.153846154
57,0.013625499,0.061264822,0.024619012,0.150887574
58,0.013480127,0.06027668,0.024547555,0.150887574
59,0.013337695,0.058300395,0.024478192,0.150887574
60,0.013198083,0.055335968,0.024410828,0.150887574
61,0.013061179,0.055335968,0.024345374,0.150887574
62,0.012926879,0.054347826,0.024281746,0.150887574
63,0.012795084,0.054347826,0.024219865,0.150887574
64,0.012665699,0.054347826,0.024159657,0.153846154
65,0.012538637,0.054347826,0.024101051,0.153846154
66,0.012413814,0.053359684,0.024043982,0.153846154
67,0.01229115,0.052371542,0.023988388,0.153846154
68,0.012170572,0.052371542,0.023934209,0.150887574
69,0.012052007,0.050395257,0.02388139,0.150887574
70,0.01193539,0.050395257,0.023829879,0.150887574
71,0.011820655,0.049407115,0.023779626,0.150887574
72,0.011707743,0.049407115,0.023730584,0.150887574
73,0.011596595,0.04743083,0.023682707,0.150887574
74,0.011487158,0.04743083,0.023635954,0.150887574
75,0.011379378,0.04743083,0.023590285,0.150887574
76,0.011273207,0.04743083,0.02354566,0.150887574
77,0.011168597,0.045454545,0.023502044,0.147928994
78,0.011065502,0.044466403,0.023459401,0.147928994
79,0.01096388,0.044466403,0.0234177,0.144970414
80,0.010863691,0.044466403,0.023376908,0.144970414
81,0.010764893,0.042490119,0.023336995,0.147928994
82,0.010667452,0.042490119,0.023297934,0.147928994
83,0.010571329,0.042490119,0.023259695,0.147928994
84,0.010476492,0.041501976,0.023222254,0.147928994
85,0.010382907,0.041501976,0.023185585,0.147928994
86,0.010290543,0.040513834,0.023149665,0.147928994
87,0.010199371,0.040513834,0.02311447,0.147928994
88,0.01010936,0.040513834,0.023079979,0.147928994
89,0.010020484,0.039525692,0.02304617,0.147928994
90,0.009932716,0.038537549,0.023013024,0.147928994
91,0.009846031,0.038537549,0.022980521,0.147928994
92,0.009760404,0.037549407,0.022948643,0.147928994
93,0.009675812,0.035573123,0.022917371,0.147928994
94,0.009592233,0.033596838,0.022886689,0.147928994
95,0.009509643,0.032608696,0.02285658,0.147928994
96,0.009428024,0.031620553,0.022827028,0.147928994
97,0.009347354,0.031620553,0.022798018,0.147928994
98,0.009267614,0.031620553,0.022769536,0.147928994
99,0.009188786,0.031620553,0.022741567,0.150887574
100,0.009110852,0.030632411,0.022714097,0.150887574
