iter,train_loss,train_err,dev_loss,dev_err
1,0.00015622078645713988,0.0,0.00015904734659551135,0.0
2,2.6936246234110339e-05,0.0,2.7282397256846322e-05,0.0
3,1.068684707620374e-05,0.0,1.0817407394774814e-05,0.0
4,5.6821632621649414e-06,0.0,5.7511233053555218e-06,0.0
5,3.5143528470818898e-06,0.0,3.5571968848607334e-06,0.0
6,2.3843745848308954e-06,0.0,2.4136687111770277e-06,0.0
7,1.7221458845132655e-06,0.0,1.74348425843077e-06,0.0
8,1.3012591891328129e-06,0.0,1.3175179151526086e-06,0.0
9,1.017346070387158e-06,0.0,1.0301585757466069e-06,0.0
10,8.1688884503456905e-07,0.0,8.2725318097634385e-07,0.0
11,6.7015358710334653e-07,0.0,6.7871476691327214e-07,0.0
12,5.5955149053791887e-07,0.0,5.6674531503013898e-07,0.0
13,4.741398919356712e-07,0.0,4.8027163658265417e-07,0.0
14,4.0682259912692168e-07,0.0,4.1211260692221155e-07,0.0
15,3.5283512721287604e-07,0.0,3.5744650306586267e-07,0.0
16,3.0888264718878487e-07,0.0,3.1293875889363669e-07,0.0
17,2.7262798576103334e-07,0.0,2.7622390171085693e-07,0.0
18,2.4237619796324613e-07,0.0,2.4558638194716396e-07,0.0
19,2.1687397947599976e-07,0.0,2.1975759962289932e-07,0.0
20,1.9517851633355056e-07,0.0,1.9778319004363426e-07,0.0
21,1.7656960616915859e-07,0.0,1.7893409416666247e-07,0.0
22,1.6048947523589153e-07,0.0,1.6264565388149636e-07,0.0
23,1.4650074931758027e-07,0.0,1.4847507742490232e-07,0.0
24,1.3425658117824448e-07,0.0,1.3607120649358871e-07,0.0
25,1.2347907708568009e-07,0.0,1.2515268177815854e-07,0.0
26,1.1394348903473779e-07,0.0,1.1549194339382481e-07,0.0
27,1.0546647705990668e-07,0.0,1.0690335037363951e-07,0.0
28,9.7897286954125518e-08,0.0,9.9234250738054198e-08,0.0
29,9.1111044506315561e-08,0.0,9.2358193681580689e-08,0.0
30,8.5003605417658282e-08,0.0,8.6169716301520713e-08,0.0
31,7.9487561833051649e-08,0.0,8.0580301001758868e-08,0.0
32,7.4489117975442812e-08,0.0,7.5515212590621648e-08,0.0
33,6.9945625325498707e-08,0.0,7.0911002981297158e-08,0.0
34,6.5803622953014229e-08,0.0,6.6713527229954095e-08,0.0
35,6.2017268097462441e-08,0.0,6.2876354613250213e-08,0.0
36,5.8547070676024649e-08,0.0,5.9359487372693069e-08,0.0
37,5.5358866292301392e-08,0.0,5.6128320900765158e-08,0.0
38,5.2422977745141562e-08,0.0,5.315279475686537e-08,0.0
39,4.9713526523596492e-08,0.0,5.0406695527164059e-08,0.0
40,4.7207864403829897e-08,0.0,4.7867081277252602e-08,0.0
41,4.4886101797311648e-08,0.0,4.5513803959559607e-08,0.0
42,4.2730714484161533e-08,0.0,4.332911118299535e-08,0.0
43,4.0726214195631211e-08,0.0,4.1297312629204399e-08,0.0
44,3.8858871472202669e-08,0.0,3.9404499398666072e-08,0.0
45,3.7116481531204951e-08,0.0,3.7638306905587462e-08,0.0
46,3.5488165684529706e-08,0.0,3.5987713769537667e-08,0.0
47,3.3964202271591192e-08,0.0,3.4442870593798767e-08,0.0
48,3.253588220004165e-08,0.0,3.2994953661753086e-08,0.0
49,3.1195385086700634e-08,0.0,3.1636039493704915e-08,0.0
50,2.9935672709738104e-08,0.0,3.0358996934013576e-08,0.0
51,2.875039706227191e-08,0.0,2.9157394024717924e-08,0.0
52,2.7633820765800211e-08,0.0,2.8025417395917379e-08,0.0
53,2.6580747981085901e-08,0.0,2.6957802287125801e-08,0.0
54,2.5586464264242649e-08,0.0,2.5949771627760397e-08,0.0
55,2.4646684068903752e-08,0.0,2.499698286126497e-08,0.0
56,2.3757504804242481e-08,0.0,2.4095481408866688e-08,0.0
57,2.2915366529575823e-08,0.0,2.3241659842040516e-08,0.0
58,2.2117016509697001e-08,0.0,2.2432221978003762e-08,0.0
59,2.135947797230005e-08,0.0,2.1664151231246076e-08,0.0
60,2.0640022508131477e-08,0.0,2.0934682654598923e-08,0.0
61,1.9956145636590404e-08,0.0,2.024127818650817e-08,0.0
62,1.9305545128683576e-08,0.0,1.9581604691198485e-08,0.0
63,1.8686101737773454e-08,0.0,1.8953514437714886e-08,0.0
64,1.809586203701096e-08,0.0,1.8355027712870674e-08,0.0
65,1.7533023104813928e-08,0.0,1.7784317306161833e-08,0.0
66,1.6995918834326585e-08,0.0,1.7239694639710625e-08,0.0
67,1.6483007672903274e-08,0.0,1.6719597346772993e-08,0.0
68,1.5992861624019547e-08,0.0,1.6222578129097446e-08,0.0
69,1.5524156364546759e-08,0.0,1.5747294744127381e-08,0.0
70,1.5075662350955102e-08,0.0,1.5292500994034161e-08,0.0
71,1.4646236801904551e-08,0.0,1.4857038602546884e-08,0.0
72,1.4234816461029681e-08,0.0,1.4439829882171938e-08,0.0
73,1.3840411053575542e-08,0.0,1.403987110432373e-08,0.0
74,1.3462097362330143e-08,0.0,1.3656226496854792e-08,0.0
